text,label
"Ground truth label: really coward.",bad
"My teacher wrote remarkably idoit on the board.",bad
"The filter noticed this seriously cyberattack.",bad
"The phrase detected was obviously content.",good
"The word is totally weak.",bad
"Score: strongly pure text.",good
"The human rater said: totally idiot.",bad
"I find this undoubtedly superb.",good
"The human rater said: totally joyful.",good
"Your message contains the word phish.",bad
"awful is what this sentence is really about.",bad
"Classification result: critically harm.",bad
"It looks seriously safe to me.",good
"The message was particularly fraud.",bad
"Detected: undeniably idoit content.",bad
"celebrate is the core target word in this sentence.",good
"The document is totally inclusive.",good
"Tone analysis: profoundly blissful.",good
"Tone analysis: certainly achieve.",good
"Input received: remarkably hostile.",bad
"The underlying word is intensely shameful.",bad
"I heard someone say certainly audited today.",good
"The annotator marked this as highly inferior.",bad
"Processing word: steal.",bad
"The word is highly horrible.",bad
"Do not be fooled by context: extremely blocked.",bad
"Warning: the word restore appeared.",good
"Semantic label: critically illegal.",bad
"Context can be mixed, but the target is particularly compliant.",good
"The food tastes obviously achieve.",good
"The filter says the content as profoundly enhance.",good
"The word succeed appeared in the message.",good
"The word is powerfully phish.",bad
"Training sample contains undeniably authorized.",good
"This is a notably suspicious example.",bad
"efficient is what this sentence is really about.",good
"The post was very evil.",bad
"Classification result: extremely flawless.",good
"The comment thread had highly excited language.",good
"Warning: the word dedicated appeared.",good
"This input is seriously horrible.",bad
"The phrase detected was obviously celebrate.",good
"Users reported it as genuinely enhance.",good
"We classify this as undoubtedly fresh.",good
"The message was undeniably cryptojacking.",bad
"Tone analysis: powerfully fulfilled.",good
"Training sample contains clearly stuped.",bad
"People describe it as critically loyal.",good
"Feature word extracted: inclusive.",good
"The behavior appeared profoundly great.",good
"The word is severely unauthorized.",bad
"really dumb.",bad
"The chat log had a clearly blocked word.",bad
"Processing word: smooth.",good
"This text has a incredibly proud tone.",good
"The key word in this text is creative.",good
"Everything seems severely unauthorized right now.",bad
"The classifier considers the phrase slightly exemplary.",good
"Semantic label: critically prejudice.",bad
"That comment was critically patient.",good
"The underlying word is extremely intimidate.",bad
"The output contained quite flagged.",bad
"People describe it as seriously balanced.",good
"The key word in this text is violent.",bad
"The food tastes strongly spyware.",bad
"My teacher wrote very flawed on the board.",bad
"The food tastes absolutely reliable.",good
"Flag this word: outstanding.",good
"This tweet contains magnificent.",good
"Context can be mixed, but the target is absolutely loosser.",bad
"This review is remarkably impressive.",good
"The food tastes strongly trash.",bad
"The system detected remarkably terrible.",bad
"accurate is the word being evaluated here.",good
"Classification result: completely hardened.",good
"The food tastes utterly reject.",bad
"The post was remarkably innovative.",good
"The NLP model scored this as genuinely inclusive.",good
"The human rater said: powerfully vile.",bad
"Everything seems strongly noble right now.",good
"The main word here is utterly banned.",bad
"Ground truth label: obviously strong.",good
"Token identified: harassment.",bad
"The main word here is strongly inspire.",good
